['Fi', 'R', 'U', 'Ui', 'Fi', 'Li', 'F', 'Bi', 'Ui', 'Ui', 'R', 'Li', 'Ri', 'D', 'R', 'L', 'Bi', 'Fi', 'D', 'R', 'Fi', 'R', 'L', 'U', 'R', 'U', 'Li', 'U', 'Ri', 'F']
['D', 'U', 'Li', 'F', 'Ri', 'Di', 'F', 'Di', 'D', 'R', 'Li', 'U', 'F', 'Bi', 'Ri', 'Di', 'F', 'D', 'F', 'B', 'U', 'R', 'Bi', 'Di', 'Fi', 'B', 'D', 'Di', 'Li', 'L']
['L', 'Ui', 'B', 'Di', 'B', 'Di', 'Di', 'Di', 'B', 'D', 'Ui', 'Li', 'Ri', 'U', 'F', 'F', 'Ri', 'Li', 'F', 'R', 'Di', 'Di', 'B', 'R', 'Ri', 'B', 'Bi', 'Di', 'B', 'L']
['Ui', 'Li', 'D', 'R', 'Ui', 'Ri', 'B', 'Ui', 'Bi', 'B', 'F', 'U', 'Ri', 'R', 'Ri', 'Bi', 'R', 'R', 'Ui', 'L', 'U', 'B', 'U', 'Ri', 'Di', 'U', 'Ri', 'L', 'U', 'Ui']
['Li', 'L', 'U', 'F', 'U', 'U', 'Ui', 'Li', 'Ui', 'Ui', 'Di', 'Bi', 'Li', 'L', 'R', 'Ri', 'Fi', 'R', 'Bi', 'Di', 'R', 'D', 'Ui', 'D', 'Ri', 'Fi', 'U', 'Bi', 'F', 'U']
['B', 'F', 'Bi', 'B', 'D', 'D', 'Fi', 'Fi', 'L', 'B', 'U', 'Bi', 'Li', 'R', 'Fi', 'Bi', 'Li', 'R', 'D', 'R', 'D', 'Bi', 'Fi', 'R', 'Ri', 'F', 'D', 'Ui', 'R', 'Li']
['Bi', 'D', 'Bi', 'Li', 'Ri', 'Di', 'U', 'R', 'U', 'Di', 'Ri', 'Di', 'U', 'F', 'D', 'F', 'Bi', 'Ui', 'L', 'Li', 'D', 'U', 'U', 'Fi', 'D', 'Di', 'R', 'Li', 'Fi', 'Ui']
['U', 'Di', 'Fi', 'F', 'Bi', 'Fi', 'Bi', 'Di', 'U', 'Ui', 'Fi', 'F', 'Ui', 'R', 'F', 'D', 'L', 'F', 'L', 'F', 'D', 'L', 'Li', 'Ri', 'Fi', 'Li', 'Bi', 'U', 'D', 'F']
['Li', 'Fi', 'L', 'Fi', 'Ui', 'U', 'Di', 'Li', 'Ri', 'L', 'Fi', 'R', 'L', 'Di', 'L', 'Bi', 'Fi', 'R', 'F', 'U', 'Fi', 'F', 'Li', 'F', 'R', 'Ui', 'F', 'U', 'B', 'Ri']
['F', 'D', 'F', 'Ri', 'Di', 'Li', 'U', 'D', 'Li', 'L', 'Ri', 'U', 'U', 'D', 'D', 'L', 'R', 'F', 'F', 'Li', 'L', 'U', 'D', 'Ui', 'Ri', 'Ri', 'Ui', 'Fi', 'U', 'Bi']
['Di', 'Di', 'Ui', 'Bi', 'U', 'D', 'Bi', 'Bi', 'Di', 'U', 'Di', 'Fi', 'Ui', 'F', 'Fi', 'B', 'R', 'Li', 'D', 'F', 'Bi', 'Di', 'Fi', 'F', 'U', 'R', 'L', 'U', 'F', 'L']
['U', 'D', 'F', 'Ri', 'R', 'B', 'Ui', 'B', 'Fi', 'L', 'R', 'Ri', 'U', 'R', 'D', 'Li', 'Ri', 'Bi', 'U', 'L', 'B', 'U', 'Ri', 'B', 'Bi', 'Bi', 'Li', 'Di', 'Fi', 'F']
['Bi', 'R', 'F', 'B', 'L', 'F', 'Fi', 'D', 'Ui', 'Ri', 'Di', 'Di', 'U', 'D', 'Fi', 'B', 'Fi', 'Bi', 'L', 'F', 'Bi', 'Di', 'U', 'Fi', 'R', 'L', 'Ri', 'F', 'L', 'F']
['D', 'Ui', 'R', 'F', 'Di', 'F', 'Di', 'L', 'L', 'Bi', 'Ui', 'L', 'L', 'Ui', 'Ui', 'Di', 'L', 'Li', 'L', 'Ri', 'Fi', 'L', 'L', 'R', 'Ri', 'B', 'Fi', 'Ui', 'Li', 'Ri']
['Bi', 'L', 'R', 'R', 'Li', 'F', 'R', 'U', 'B', 'Fi', 'D', 'Ri', 'Fi', 'Ui', 'U', 'Fi', 'U', 'Fi', 'Bi', 'Di', 'Ui', 'U', 'Bi', 'Ri', 'B', 'F', 'Ri', 'Bi', 'Ri', 'U']
['Di', 'R', 'Ri', 'Bi', 'F', 'F', 'U', 'Ri', 'U', 'L', 'Ui', 'B', 'L', 'D', 'F', 'Fi', 'Li', 'L', 'R', 'D', 'Ui', 'Ri', 'R', 'B', 'Li', 'F', 'B', 'Bi', 'Bi', 'D']
['F', 'Di', 'Di', 'Ui', 'Fi', 'Bi', 'Ui', 'Ui', 'L', 'R', 'R', 'B', 'Fi', 'D', 'D', 'F', 'Fi', 'R', 'L', 'Li', 'Di', 'U', 'Bi', 'Ri', 'Li', 'L', 'Fi', 'Li', 'Ui', 'U']
['L', 'Ui', 'Li', 'Ri', 'F', 'Li', 'Ui', 'Di', 'F', 'Bi', 'Fi', 'R', 'Li', 'Li', 'Ui', 'F', 'Ui', 'Ri', 'U', 'D', 'Ui', 'D', 'F', 'B', 'Li', 'F', 'L', 'D', 'Di', 'Fi']
['U', 'Fi', 'Fi', 'R', 'Bi', 'Fi', 'Ri', 'Di', 'L', 'F', 'Ui', 'Fi', 'L', 'Bi', 'Ri', 'F', 'Li', 'F', 'U', 'Di', 'R', 'Fi', 'Ri', 'R', 'B', 'L', 'F', 'L', 'Bi', 'D']
['F', 'B', 'F', 'Fi', 'Bi', 'B', 'F', 'U', 'Fi', 'F', 'L', 'Di', 'Fi', 'Ri', 'U', 'F', 'Li', 'Di', 'F', 'Li', 'F', 'L', 'R', 'Fi', 'Fi', 'Li', 'D', 'Di', 'Li', 'Fi']
['Ri', 'Di', 'Ri', 'L', 'Di', 'R', 'Li', 'Ri', 'Di', 'Bi', 'U', 'U', 'Ri', 'Li', 'F', 'Ui', 'Bi', 'Ri', 'Bi', 'Bi', 'Ui', 'R', 'Fi', 'Bi', 'Bi', 'Ui', 'B', 'B', 'D', 'L']
['F', 'U', 'Bi', 'U', 'F', 'F', 'Ri', 'Ri', 'Bi', 'Fi', 'L', 'Ui', 'U', 'U', 'R', 'U', 'B', 'B', 'U', 'U', 'Ri', 'Ui', 'B', 'Li', 'D', 'L', 'Ui', 'F', 'R', 'U']
['Di', 'Bi', 'D', 'Bi', 'Ui', 'Li', 'Fi', 'Di', 'Ri', 'F', 'Ri', 'L', 'Ui', 'D', 'Ri', 'B', 'Di', 'L', 'Li', 'Ri', 'L', 'L', 'R', 'B', 'R', 'R', 'R', 'Ui', 'Ri', 'B']
['Ri', 'Ui', 'D', 'Fi', 'Ri', 'Li', 'U', 'Fi', 'Fi', 'R', 'D', 'Di', 'F', 'Bi', 'F', 'B', 'Li', 'B', 'Bi', 'U', 'Ui', 'F', 'F', 'R', 'U', 'D', 'U', 'Li', 'Ri', 'D']
['L', 'B', 'D', 'Ui', 'F', 'D', 'Di', 'D', 'Ri', 'Fi', 'F', 'Ui', 'R', 'L', 'Li', 'Fi', 'F', 'L', 'Bi', 'R', 'D', 'L', 'F', 'Ri', 'R', 'Fi', 'D', 'F', 'Li', 'R']
