[' | ', 'Ui', 'L', 'Fi', 'Li', 'Di', 'R', 'D', 'U', 'yi', 'L', 'Fi', 'Li', ' | ', 'U2', 'Fi', 'U2', 'F', 'U2', 'Ri', 'Ui', 'R', ' | ', 'U2', 'Li', 'U2', 'L', 'U2', 'yi', 'Li', 'Ui', 'L', ' | ', 'R', 'U', 'Ri', 'Ui', 'Ri', 'Ui', 'R', ' | ', 'U2', 'R', 'U', 'Ri', 'Ui', 'R', 'U', 'Ri', ' | ', ' | ', 'U', 'L', 'F', 'Ui', 'Fi', 'U', 'F', 'U2', 'Fi', 'Ui', 'Li', ' | ', 'Li', 'M', 'Ui', 'L', 'U', 'Mi', 'Ui', 'Li', 'U', 'L', 'Ui']
[' | ', 'R', 'D', 'Ri', 'Di', 'D', 'y', 'Ri', 'Di', 'U2', 'F', 'Ri', 'Fi', 'Di', 'Ri', 'D', ' | ', 'Ui', 'yi', 'Li', 'Ui', 'L', 'U', 'F', 'U', 'Fi', ' | ', 'U2', 'y', 'Ri', 'U', 'R', 'Ui', 'F', 'U', 'Fi', ' | ', 'U', 'y', 'R', 'U2', 'Ri', 'F', 'U', 'Fi', ' | ', 'Fi', 'U', 'F', 'U2', 'Fi', 'Ui', 'F', ' | ', ' | ', 'F2', 'Di', 'F', 'U2', 'Fi', 'D', 'F', 'U2', 'F', ' | ', 'L2', 'yi', 'L', 'F', 'U', 'F', 'Ui', 'F2', 'Li', 'F', 'U', 'F', 'U', 'Fi', 'U2', 'F']
[' | ', 'Ui', 'F2', 'D2', 'Li', 'D2', 'Ui', 'yi', 'L2', 'F', 'Di', 'L', 'D', ' | ', 'Ui', 'Ri', 'U2', 'R', 'U', 'Ri', 'Ui', 'R', ' | ', 'U', 'Li', 'U', 'L', 'Ui', 'Li', 'Ui', 'L', ' | ', 'U', 'L', 'Ui', 'Li', 'U', 'L', 'U', 'Li', ' | ', 'U', 'R', 'Ui', 'Ri', 'Ui', 'Fi', 'U', 'F', ' | ', ' | ', 'F', 'R', 'U', 'Ri', 'Ui', 'R', 'U', 'Ri', 'Ui', 'Fi', ' | ', 'U', 'Mi', 'Ui', 'Mi', 'U2', 'M', 'Ui', 'M2', 'Ui', 'Mi', 'U2']
[' | ', 'F2', 'U', 'F', 'Ri', 'Fi', 'R', 'y', 'Ri', 'Fi', 'D', 'Li', 'Di', ' | ', 'Ui', 'L', 'U2', 'Li', 'U', 'L', 'U', 'Li', ' | ', 'Ui', 'Li', 'U', 'L', 'Ui', 'F', 'Ui', 'Fi', ' | ', 'U2', 'Ri', 'U2', 'R', 'Fi', 'U', 'F', ' | ', 'y', 'R', 'U', 'Ri', 'U2', 'Fi', 'Ui', 'F', ' | ', ' | ', 'U', 'Ui', 'Ri', 'F', 'R', 'U', 'F', 'Ui', 'R', 'U', 'Ri', 'Ui', 'Fi', ' | ']
[' | ', 'R', 'D', 'Ri', 'Di', 'Ri', 'U2', 'yi', 'L2', 'Ui', 'F2', ' | ', 'yi', 'L', 'U', 'Li', 'Ui', 'F', 'Ui', 'Fi', ' | ', 'y', 'R', 'U2', 'Ri', 'U', 'R', 'Ui', 'Ri', ' | ', 'Ui', 'F', 'U2', 'Fi', 'Ui', 'Ri', 'Ui', 'R', ' | ', 'F', 'U', 'Fi', ' | ', ' | ', 'U', 'F', 'U2', 'F2', 'L', 'F', 'Li', 'F', 'U2', 'Fi', ' | ', 'y', 'Ri', 'Ui', 'Ri', 'F', 'R', 'Fi', 'U', 'R', 'F', 'R', 'U', 'Ri', 'Ui', 'Fi']
[' | ', 'L', 'Di', 'Li', 'D', 'U2', 'R2', 'yi', 'Li', 'D', 'R', 'Di', ' | ', 'Ui', 'Fi', 'U', 'F', 'Li', 'Ui', 'L', ' | ', 'Ri', 'Ui', 'R', 'Ui', 'Fi', 'U', 'F', ' | ', 'U2', 'yi', 'Li', 'U', 'L', 'U2', 'F', 'U', 'Fi', ' | ', 'Ui', 'yi', 'Li', 'U', 'L', 'U', 'F', 'U', 'Fi', ' | ', ' | ', 'U', 'yi', 'L', 'Fi', 'Li', 'F', 'U', 'F', 'Ui', 'Fi', ' | ', 'Mi', 'U', 'Mi', 'U2', 'Mi', 'Ui', 'M', 'U', 'Mi', 'U2', 'M', 'Ui', 'M2', 'Ui']
[' | ', 'F', 'D2', 'L', 'D2', 'R', 'y', 'Ri', 'Fi', 'y', 'R', 'Di', 'F', 'D', ' | ', 'U', 'L', 'Ui', 'Li', ' | ', 'Fi', 'U', 'F', 'Ui', 'R', 'Ui', 'Ri', ' | ', 'Li', 'U2', 'L', 'U', 'yi', 'L', 'U', 'Li', ' | ', 'Ui', 'Fi', 'U', 'F', 'U', 'Fi', 'Ui', 'F', ' | ', ' | ', 'F', 'Ui', 'y', 'Ri', 'U', 'Li', 'Ui', 'R', ' | ', 'M', 'Ui', 'Mi', 'U2', 'M', 'Ui', 'Mi', 'Ui']
[' | ', 'U2', 'L', 'Fi', 'Li', 'R2', 'D', 'L', 'Di', 'Li', ' | ', 'Fi', 'Ui', 'F', 'Ui', 'Fi', 'U', 'F', ' | ', 'Ui', 'yi', 'Li', 'Ui', 'L', ' | ', 'Ui', 'Fi', 'U', 'F', 'U2', 'L', 'U', 'Li', ' | ', 'yi', 'L', 'U', 'Li', 'U', 'L', 'U2', 'Li', 'U2', 'Ri', 'U', 'R', ' | ', ' | ', 'U', 'F', 'Ri', 'Fi', 'R', 'U2', 'R', 'Ui', 'Ri', 'U', 'R', 'U2', 'Ri', ' | ', 'U2', 'M2', 'U', 'M', 'Ui', 'Mi', 'Ui', 'Mi', 'U', 'Mi', 'U', 'Mi', 'Ui', 'M', 'Ui']
[' | ', 'L', 'Di', 'Li', 'D', 'D', 'y', 'Ri', 'Di', 'Di', 'Fi', 'D', ' | ', 'Ui', 'L', 'U2', 'Li', 'U2', 'L', 'Ui', 'Li', ' | ', 'U', 'F', 'Ui', 'Fi', ' | ', 'R', 'U2', 'Ri', 'U2', 'Fi', 'Ui', 'F', ' | ', 'Ui', 'Ri', 'Ui', 'R', 'U2', 'Ri', 'Ui', 'R', ' | ', ' | ', 'U', 'R', 'U2', 'R', 'D', 'Ri', 'U2', 'R', 'Di', 'R2', ' | ', 'U2', 'Mi', 'Ui', 'Mi', 'U2', 'Mi', 'U', 'M', 'Ui', 'Mi', 'U2', 'M', 'U', 'M2', 'Ui']
[' | ', 'L', 'Fi', 'Li', 'Ui', 'F', 'Ri', 'Fi', 'Di', 'Ri', 'D', 'yi', 'L', 'Fi', 'Li', ' | ', 'yi', 'Li', 'U', 'L', 'L', 'Ui', 'Li', ' | ', 'U2', 'Li', 'U2', 'L', 'Ui', 'F', 'U', 'Fi', ' | ', 'Ui', 'R', 'U2', 'Ri', 'yi', 'L', 'U', 'Li', ' | ', 'U', 'Ri', 'U', 'R', 'U', 'Ri', 'Ui', 'R', ' | ', ' | ', 'Li', 'Ui', 'L', 'Ui', 'Li', 'U', 'L', 'F', 'R', 'U', 'Ri', 'Fi', ' | ']
[' | ', 'R', 'F', 'U', 'R2', 'yi', 'Li', 'L', 'Fi', 'Li', ' | ', 'U', 'y', 'R', 'U', 'Ri', ' | ', 'F', 'U2', 'Fi', 'U2', 'L', 'Ui', 'Li', ' | ', 'Ui', 'y', 'R', 'U2', 'Ri', 'U', 'L', 'U', 'Li', ' | ', 'Fi', 'U2', 'F', 'U2', 'Fi', 'U', 'F', ' | ', ' | ', 'L', 'U2', 'Li', 'yi', 'L', 'Fi', 'Li', 'F', 'Ui', 'F', 'Ui', 'Fi', ' | ', 'U2', 'Mi', 'Ui', 'M', 'U', 'Mi', 'U', 'M', 'U', 'Mi', 'U', 'M', 'U2', 'Mi', 'Ui', 'M']
